inst,actual,predicted,error,,
85,1,0.488,-0.512,,
86,1,0.473,-0.527,,
87,1,0.482,-0.518,,
88,0,0.464,0.464,,
89,1,0.469,-0.531,,
90,1,0.479,-0.521,,
91,0,0.481,0.481,,
92,1,0.476,-0.524,,
93,1,0.475,-0.525,,
94,0,0.492,0.492,,
95,0,0.494,0.494,,
96,1,0.48,-0.52,,
97,1,0.479,-0.521,,
98,0,0.472,0.472,,
99,1,0.473,-0.527,,
100,0,0.463,0.463,,
101,0,0.49,0.49,,
102,1,0.475,-0.525,,
103,0,0.48,0.48,,
104,1,0.487,-0.513,,
105,0,0.493,0.493,,
106,1,0.488,-0.512,,
107,1,0.483,-0.517,,
108,1,0.475,-0.525,,
109,1,0.485,-0.515,,
110,1,0.488,-0.512,,
111,1,0.486,-0.514,,
112,0,0.495,0.495,,
113,0,0.49,0.49,,
114,0,0.472,0.472,,
115,1,0.479,-0.521,,
116,1,0.48,-0.52,,
117,0,0.476,0.476,,
118,1,0.49,-0.51,,
119,1,0.491,-0.509,,
120,1,0.486,-0.514,,
121,0,0.464,0.464,,
122,0,0.481,0.481,,
123,1,0.486,-0.514,,
124,0,0.481,0.481,,
125,1,0.472,-0.528,,
126,1,0.477,-0.523,,
127,0,0.465,0.465,,
128,1,0.49,-0.51,,
129,0,0.465,0.465,,
130,1,0.478,-0.522,,
131,1,0.486,-0.514,,
132,1,0.481,-0.519,,
133,0,0.487,0.487,,
134,0,0.482,0.482,,
135,0,0.483,0.483,,
136,0,0.489,0.489,,
137,1,0.471,-0.529,,
138,0,0.492,0.492,,
139,0,0.464,0.464,,
140,0,0.497,0.497,,
141,1,0.485,-0.515,,
142,0,0.469,0.469,,
143,0,0.479,0.479,,
144,1,0.49,-0.51,,
145,1,0.493,-0.507,,
146,0,0.465,0.465,,
147,1,0.474,-0.526,,
148,0,0.496,0.496,,
149,0,0.496,0.496,,
150,0,0.467,0.467,,
151,1,0.492,-0.508,,
152,1,0.48,-0.52,,
153,0,0.467,0.467,,
154,0,0.476,0.476,,
155,0,0.467,0.467,,
156,0,0.491,0.491,,
157,0,0.491,0.491,,
158,1,0.468,-0.532,,
159,0,0.465,0.465,,
160,1,0.475,-0.525,,
161,0,0.482,0.482,,
162,0,0.488,0.488,,
163,1,0.471,-0.529,,
164,0,0.479,0.479,,
165,1,0.469,-0.531,,
166,1,0.486,-0.514,,
167,1,0.477,-0.523,,
168,0,0.474,0.474,,
169,1,0.472,-0.528,,
170,1,0.489,-0.511,,
171,1,0.489,-0.511,,
172,0,0.48,0.48,,
173,1,0.479,-0.521,,
174,1,0.477,-0.523,,
175,1,0.479,-0.521,,
176,0,0.486,0.486,,
177,0,0.496,0.496,,
178,0,0.471,0.471,,
179,0,0.463,0.463,,
180,0,0.488,0.488,,
181,0,0.466,0.466,,
182,1,0.484,-0.516,,
183,0,0.477,0.477,,
184,0,0.47,0.47,,
185,1,0.469,-0.531,,
186,0,0.473,0.473,,
187,1,0.487,-0.513,,
188,0,0.493,0.493,,
189,0,0.495,0.495,,
190,0,0.492,0.492,,
191,1,0.475,-0.525,,
192,0,0.469,0.469,,
193,1,0.491,-0.509,,
194,1,0.473,-0.527,,
195,1,0.489,-0.511,,
196,0,0.464,0.464,,
197,0,0.486,0.486,,
198,0,0.491,0.491,,
199,0,0.465,0.465,,
200,0,0.469,0.469,,
201,0,0.495,0.495,,
202,1,0.472,-0.528,,
203,1,0.481,-0.519,,
204,1,0.483,-0.517,,
205,1,0.483,-0.517,,
206,1,0.486,-0.514,,
207,0,0.495,0.495,,
208,1,0.481,-0.519,,
209,0,0.496,0.496,,
210,0,0.476,0.476,,
211,1,0.474,-0.526,,
212,1,0.485,-0.515,,
213,1,0.471,-0.529,,
214,1,0.468,-0.532,,
215,1,0.479,-0.521,,
216,1,0.485,-0.515,,
217,0,0.493,0.493,,
218,0,0.466,0.466,,
219,1,0.475,-0.525,,
220,0,0.487,0.487,,
221,0,0.475,0.475,,
222,1,0.488,-0.512,,
223,1,0.479,-0.521,,
224,0,0.483,0.483,,
225,1,0.475,-0.525,,
226,1,0.477,-0.523,,
227,0,0.468,0.468,,
228,1,0.481,-0.519,,
229,0,0.48,0.48,,
230,1,0.477,-0.523,,
231,0,0.48,0.48,,
232,0,0.465,0.465,,
233,1,0.47,-0.53,,
234,0,0.467,0.467,,
235,0,0.465,0.465,,
236,0,0.479,0.479,,
237,0,0.48,0.48,,
238,0,0.467,0.467,,
239,0,0.465,0.465,,
240,0,0.495,0.495,,
241,1,0.476,-0.524,,
242,0,0.474,0.474,,
243,1,0.486,-0.514,,
244,0,0.496,0.496,,
245,1,0.468,-0.532,,
246,0,0.465,0.465,,
247,0,0.496,0.496,,
248,1,0.475,-0.525,,
249,0,0.467,0.467,,
250,0,0.465,0.465,,
251,1,0.488,-0.512,,
252,1,0.478,-0.522,,
253,1,0.474,-0.526,,
254,0,0.496,0.496,,
255,0,0.476,0.476,,
256,0,0.495,0.495,,
257,0,0.466,0.466,,
258,1,0.476,-0.524,,
259,0,0.47,0.47,,
260,0,0.493,0.493,,
261,1,0.475,-0.525,,
262,1,0.491,-0.509,,
263,1,0.48,-0.52,,
264,1,0.473,-0.527,,
265,0,0.468,0.468,,
266,0,0.49,0.49,,
267,0,0.476,0.476,,
268,0,0.477,0.477,,
269,1,0.486,-0.514,,
270,0,0.481,0.481,,
271,0,0.466,0.466,,
272,0,0.465,0.465,,
273,0,0.467,0.467,,
274,0,0.471,0.471,,
275,1,0.485,-0.515,,
276,1,0.482,-0.518,,
277,1,0.487,-0.513,,
278,1,0.476,-0.524,,
279,0,0.495,0.495,,
280,1,0.488,-0.512,,
281,1,0.472,-0.528,,
282,1,0.468,-0.532,,
283,1,0.482,-0.518,,
284,1,0.484,-0.516,,
285,0,0.476,0.476,,
286,0,0.467,0.467,,
287,0,0.491,0.491,,
288,0,0.494,0.494,,
289,0,0.468,0.468,,
290,0,0.479,0.479,,
291,0,0.496,0.496,,
292,1,0.472,-0.528,,
293,1,0.475,-0.525,,
294,1,0.48,-0.52,,
295,1,0.471,-0.529,,
296,1,0.475,-0.525,,
297,1,0.47,-0.53,,
298,0,0.492,0.492,,
299,1,0.48,-0.52,,
300,1,0.485,-0.515,,
301,1,0.491,-0.509,,
302,0,0.484,0.484,,
303,0,0.482,0.482,,
304,0,0.493,0.493,,
305,0,0.491,0.491,,
306,0,0.467,0.467,,
307,1,0.482,-0.518,,
308,0,0.495,0.495,,
309,1,0.482,-0.518,,
310,0,0.494,0.494,,
311,1,0.49,-0.51,,
312,0,0.489,0.489,,
313,0,0.488,0.488,,
314,1,0.473,-0.527,,
315,1,0.474,-0.526,,
316,0,0.477,0.477,,
317,1,0.47,-0.53,,
318,0,0.466,0.466,,
319,0,0.493,0.493,,
320,1,0.477,-0.523,,
321,0,0.471,0.471,,
322,1,0.481,-0.519,,
323,1,0.488,-0.512,,
324,0,0.49,0.49,,
325,1,0.492,-0.508,,
326,1,0.482,-0.518,,
327,1,0.472,-0.528,,
328,0,0.496,0.496,,
329,1,0.491,-0.509,,
330,1,0.49,-0.51,,
331,0,0.491,0.491,,
332,1,0.471,-0.529,,
333,0,0.485,0.485,,
334,1,0.48,-0.52,,
335,1,0.489,-0.511,,
336,1,0.485,-0.515,,
337,0,0.489,0.489,,
338,1,0.471,-0.529,,
339,0,0.465,0.465,,
340,0,0.474,0.474,,
341,1,0.484,-0.516,,
342,0,0.493,0.493,,
343,0,0.466,0.466,,
344,0,0.479,0.479,,
345,1,0.483,-0.517,,
346,0,0.465,0.465,,
347,1,0.481,-0.519,,
348,0,0.489,0.489,,
349,1,0.493,-0.507,,
350,0,0.489,0.489,,
351,0,0.48,0.48,,
352,0,0.495,0.495,,
353,0,0.492,0.492,,
354,1,0.481,-0.519,,
355,0,0.483,0.483,,
356,0,0.494,0.494,,
357,0,0.468,0.468,,
358,1,0.488,-0.512,,
359,1,0.483,-0.517,,
360,0,0.464,0.464,,
361,0,0.463,0.463,,
362,1,0.478,-0.522,,
363,1,0.486,-0.514,,
364,0,0.491,0.491,,
365,0,0.492,0.492,,
366,1,0.47,-0.53,,
367,1,0.485,-0.515,,
368,1,0.487,-0.513,,
369,0,0.474,0.474,,
370,1,0.489,-0.511,,
371,0,0.466,0.466,,
372,0,0.484,0.484,,
373,0,0.496,0.496,,
374,0,0.468,0.468,,
375,1,0.47,-0.53,,
376,1,0.486,-0.514,,
377,0,0.482,0.482,,
378,1,0.468,-0.532,,
379,0,0.464,0.464,,
380,1,0.474,-0.526,,
381,0,0.481,0.481,,
382,1,0.485,-0.515,,
383,0,0.488,0.488,,
384,1,0.474,-0.526,,
385,1,0.471,-0.529,,
386,0,0.496,0.496,,
387,1,0.474,-0.526,,
388,0,0.488,0.488,,
389,0,0.463,0.463,,
390,1,0.473,-0.527,,
391,0,0.48,0.48,,
392,0,0.492,0.492,,
393,1,0.474,-0.526,,
394,0,0.467,0.467,,
395,0,0.465,0.465,,
396,1,0.484,-0.516,,
397,1,0.485,-0.515,,
398,1,0.479,-0.521,,
399,1,0.484,-0.516,,
400,1,0.484,-0.516,,
401,1,0.483,-0.517,,
402,0,0.496,0.496,,
403,0,0.489,0.489,,
404,1,0.479,-0.521,,
405,0,0.497,0.497,,
406,1,0.479,-0.521,,
407,0,0.494,0.494,,
408,0,0.467,0.467,,
409,0,0.494,0.494,,
410,0,0.467,0.467,,
411,0,0.489,0.489,,
412,1,0.48,-0.52,,
413,1,0.472,-0.528,,
414,1,0.493,-0.507,,
415,1,0.491,-0.509,,
416,0,0.467,0.467,,
417,1,0.488,-0.512,,
418,0,0.492,0.492,,
419,0,0.464,0.464,,
420,1,0.476,-0.524,,
421,0,0.472,0.472,,
422,1,0.468,-0.532,,
423,1,0.487,-0.513,,
424,0,0.494,0.494,,
425,0,0.47,0.47,,
426,1,0.477,-0.523,,
427,1,0.469,-0.531,,
428,0,0.494,0.494,,
429,1,0.473,-0.527,,
430,1,0.479,-0.521,,
431,1,0.483,-0.517,,
432,0,0.474,0.474,,
433,0,0.47,0.47,,
434,1,0.489,-0.511,,
435,0,0.481,0.481,,
436,1,0.475,-0.525,,
437,0,0.465,0.465,,
438,0,0.471,0.471,,
439,0,0.475,0.475,,
440,0,0.479,0.479,,
441,0,0.492,0.492,,
442,1,0.484,-0.516,,
443,0,0.495,0.495,,
444,0,0.496,0.496,,
445,0,0.495,0.495,,
446,1,0.472,-0.528,,
447,1,0.487,-0.513,,
448,0,0.477,0.477,,
449,1,0.482,-0.518,,
450,0,0.493,0.493,,
451,0,0.467,0.467,,
452,1,0.477,-0.523,,
453,0,0.495,0.495,,
454,0,0.494,0.494,,
455,0,0.496,0.496,,
456,1,0.484,-0.516,,
457,0,0.463,0.463,,
458,1,0.475,-0.525,,
459,1,0.472,-0.528,,
460,0,0.468,0.468,,
461,1,0.49,-0.51,,
462,1,0.489,-0.511,,
463,0,0.496,0.496,,
464,0,0.464,0.464,,
465,1,0.485,-0.515,,
466,0,0.487,0.487,,
467,0,0.479,0.479,,
468,1,0.485,-0.515,,
469,1,0.473,-0.527,,
470,1,0.487,-0.513,,
471,0,0.464,0.464,,
472,1,0.485,-0.515,,
473,0,0.472,0.472,,
474,1,0.482,-0.518,,
475,0,0.464,0.464,,
476,0,0.485,0.485,,
477,0,0.483,0.483,,
478,1,0.485,-0.515,,
479,0,0.476,0.476,,
480,1,0.473,-0.527,,
481,0,0.496,0.496,,
482,0,0.474,0.474,,
483,0,0.473,0.473,,
484,1,0.486,-0.514,,
485,0,0.465,0.465,,
486,1,0.473,-0.527,,
487,1,0.473,-0.527,,
488,1,0.488,-0.512,,
489,1,0.47,-0.53,,
490,0,0.493,0.493,,
491,0,0.492,0.492,,
492,0,0.494,0.494,,
493,0,0.481,0.481,,
494,1,0.481,-0.519,,
495,1,0.485,-0.515,,
496,0,0.467,0.467,,
497,1,0.474,-0.526,,
498,0,0.465,0.465,,
499,1,0.472,-0.528,,
500,0,0.475,0.475,,
501,0,0.466,0.466,,
502,1,0.473,-0.527,,
503,0,0.49,0.49,,
504,1,0.481,-0.519,,
505,1,0.487,-0.513,,
506,1,0.484,-0.516,,
507,1,0.483,-0.517,,
508,1,0.488,-0.512,,
509,1,0.473,-0.527,,
510,0,0.483,0.483,,
511,1,0.491,-0.509,,
512,1,0.479,-0.521,,
513,0,0.478,0.478,,
514,1,0.483,-0.517,,
515,1,0.472,-0.528,,
516,0,0.491,0.491,,
517,1,0.472,-0.528,,
518,0,0.479,0.479,,
519,0,0.467,0.467,,
520,1,0.489,-0.511,,
521,0,0.478,0.478,,
522,0,0.479,0.479,,
523,1,0.468,-0.532,,
524,1,0.474,-0.526,,
525,1,0.475,-0.525,,
526,1,0.476,-0.524,,
527,1,0.478,-0.522,,
528,0,0.495,0.495,,
529,0,0.469,0.469,,
530,0,0.495,0.495,,
531,1,0.479,-0.521,,
532,0,0.494,0.494,,
533,1,0.481,-0.519,,
534,0,0.491,0.491,,
535,0,0.464,0.464,,
536,1,0.487,-0.513,,
537,1,0.474,-0.526,,
538,0,0.464,0.464,,
539,1,0.481,-0.519,,
540,0,0.467,0.467,,
541,0,0.478,0.478,,
542,0,0.492,0.492,,
543,1,0.473,-0.527,,
544,0,0.495,0.495,,
545,0,0.464,0.464,,
546,1,0.469,-0.531,,
547,1,0.483,-0.517,,
548,0,0.48,0.48,,
549,0,0.494,0.494,,
550,1,0.475,-0.525,,
551,1,0.476,-0.524,,
552,1,0.476,-0.524,,
553,1,0.475,-0.525,,
554,1,0.476,-0.524,,
555,0,0.466,0.466,,
556,0,0.469,0.469,,
557,1,0.471,-0.529,,
558,1,0.47,-0.53,,
559,1,0.48,-0.52,,
560,1,0.468,-0.532,,
561,0,0.491,0.491,,
562,1,0.477,-0.523,,
563,0,0.468,0.468,,
564,1,0.475,-0.525,,
565,0,0.49,0.49,,
566,0,0.488,0.488,,
567,0,0.468,0.468,,
568,0,0.475,0.475,,
569,0,0.494,0.494,,
570,1,0.489,-0.511,,
571,0,0.465,0.465,,
572,0,0.493,0.493,,
573,0,0.495,0.495,,
574,1,0.472,-0.528,,
575,1,0.49,-0.51,,
576,1,0.47,-0.53,,
577,1,0.48,-0.52,,
578,1,0.492,-0.508,,
579,0,0.469,0.469,,
580,0,0.464,0.464,,
581,1,0.484,-0.516,,
582,0,0.486,0.486,,
583,0,0.465,0.465,,
584,1,0.469,-0.531,,
585,1,0.467,-0.533,,
586,0,0.494,0.494,,
587,0,0.489,0.489,,
588,0,0.495,0.495,,
589,0,0.481,0.481,,
590,1,0.467,-0.533,,
591,1,0.476,-0.524,,
592,0,0.465,0.465,,
593,1,0.471,-0.529,,
594,1,0.49,-0.51,,
595,0,0.48,0.48,,
596,1,0.473,-0.527,,
597,1,0.471,-0.529,,
598,0,0.463,0.463,,
599,0,0.468,0.468,,
600,0,0.495,0.495,,
601,0,0.463,0.463,,
602,1,0.482,-0.518,,
603,0,0.467,0.467,,
604,1,0.481,-0.519,,
605,1,0.476,-0.524,,
606,1,0.473,-0.527,,
607,1,0.485,-0.515,,
608,0,0.466,0.466,,
609,0,0.493,0.493,,
610,1,0.472,-0.528,,
611,1,0.487,-0.513,,
612,1,0.48,-0.52,,
613,0,0.468,0.468,,
614,0,0.479,0.479,,
615,1,0.472,-0.528,,
616,0,0.463,0.463,,
617,1,0.488,-0.512,,
618,1,0.482,-0.518,,
619,1,0.484,-0.516,,
620,0,0.495,0.495,,
621,1,0.471,-0.529,,
622,1,0.473,-0.527,,
623,0,0.484,0.484,,
624,1,0.484,-0.516,,
625,0,0.491,0.491,,
626,0,0.493,0.493,,
627,1,0.469,-0.531,,
628,0,0.465,0.465,,
629,0,0.492,0.492,,
630,1,0.483,-0.517,,
631,0,0.494,0.494,,
632,1,0.489,-0.511,,
633,1,0.482,-0.518,,
634,0,0.493,0.493,,
635,1,0.488,-0.512,,
636,0,0.489,0.489,,
637,1,0.489,-0.511,,
638,1,0.476,-0.524,,
639,0,0.473,0.473,,
640,1,0.485,-0.515,,
641,0,0.469,0.469,,
642,1,0.487,-0.513,,
643,0,0.495,0.495,,
644,0,0.469,0.469,,
645,1,0.468,-0.532,,
646,0,0.465,0.465,,
647,0,0.48,0.48,,
648,1,0.487,-0.513,,
649,0,0.488,0.488,,
650,0,0.477,0.477,,
651,0,0.466,0.466,,
652,0,0.47,0.47,,
653,0,0.495,0.495,,
654,0,0.477,0.477,,
655,1,0.472,-0.528,,
656,0,0.472,0.472,,
657,0,0.494,0.494,,
658,0,0.466,0.466,,
659,0,0.47,0.47,,
660,1,0.476,-0.524,,
661,0,0.493,0.493,,
662,0,0.494,0.494,,
663,1,0.48,-0.52,,
664,0,0.478,0.478,,
665,1,0.481,-0.519,,
666,0,0.482,0.482,,
667,0,0.49,0.49,,
668,1,0.475,-0.525,,
669,0,0.473,0.473,,
670,0,0.493,0.493,,
671,1,0.471,-0.529,,
672,0,0.469,0.469,,
673,0,0.492,0.492,,
674,0,0.486,0.486,,
675,1,0.472,-0.528,,
676,0,0.491,0.491,,
677,0,0.495,0.495,,
678,1,0.476,-0.524,,
679,1,0.467,-0.533,,
680,1,0.491,-0.509,,
681,1,0.479,-0.521,,
682,1,0.479,-0.521,,
683,0,0.469,0.469,,
684,0,0.466,0.466,,
685,1,0.469,-0.531,,
686,1,0.469,-0.531,,
687,1,0.484,-0.516,,
688,1,0.473,-0.527,,
689,1,0.476,-0.524,,
690,0,0.495,0.495,,
691,1,0.47,-0.53,,
692,1,0.474,-0.526,,
693,0,0.491,0.491,,
694,1,0.484,-0.516,,
695,0,0.492,0.492,,
696,1,0.478,-0.522,,
697,0,0.492,0.492,,
698,1,0.472,-0.528,,
699,0,0.468,0.468,,
700,1,0.481,-0.519,,
701,1,0.478,-0.522,,
702,0,0.466,0.466,,
703,1,0.487,-0.513,,
704,1,0.489,-0.511,,
705,0,0.466,0.466,,
706,0,0.484,0.484,,
707,1,0.481,-0.519,,
708,0,0.464,0.464,,
709,1,0.473,-0.527,,
710,0,0.481,0.481,,
711,0,0.494,0.494,,
712,0,0.497,0.497,,
713,0,0.491,0.491,,
714,0,0.463,0.463,,
715,1,0.472,-0.528,,
716,1,0.487,-0.513,,
717,1,0.484,-0.516,,
718,0,0.483,0.483,,
719,1,0.475,-0.525,,
720,0,0.496,0.496,,
721,0,0.496,0.496,,
722,1,0.475,-0.525,,
723,0,0.482,0.482,,
724,1,0.493,-0.507,,
725,1,0.475,-0.525,,
726,1,0.491,-0.509,,
727,1,0.49,-0.51,,
728,1,0.49,-0.51,,
729,1,0.488,-0.512,,
730,0,0.492,0.492,,
731,0,0.466,0.466,,
732,0,0.482,0.482,,
733,0,0.494,0.494,,
734,1,0.473,-0.527,,
735,1,0.482,-0.518,,
736,1,0.489,-0.511,,
737,0,0.468,0.468,,
738,0,0.489,0.489,,
739,1,0.493,-0.507,,
740,1,0.485,-0.515,,
741,0,0.496,0.496,,
742,1,0.484,-0.516,,
743,1,0.481,-0.519,,
744,0,0.495,0.495,,
745,0,0.465,0.465,,
746,0,0.488,0.488,,
747,1,0.486,-0.514,,
748,1,0.485,-0.515,,
749,0,0.496,0.496,,
750,1,0.467,-0.533,,
751,1,0.476,-0.524,,
752,1,0.474,-0.526,,
753,1,0.467,-0.533,,
754,0,0.48,0.48,,
755,0,0.494,0.494,,
756,1,0.471,-0.529,,
757,0,0.466,0.466,,
758,1,0.484,-0.516,,
759,1,0.475,-0.525,,
760,0,0.496,0.496,,
761,1,0.471,-0.529,,
762,0,0.485,0.485,,
763,0,0.466,0.466,,
764,1,0.481,-0.519,,
765,1,0.487,-0.513,,
766,0,0.489,0.489,,
767,0,0.491,0.491,,
768,0,0.464,0.464,,
769,1,0.479,-0.521,,
770,0,0.468,0.468,,
771,1,0.487,-0.513,,
772,1,0.471,-0.529,,
773,0,0.481,0.481,,
774,0,0.48,0.48,,
775,1,0.487,-0.513,,
776,0,0.487,0.487,,
777,1,0.481,-0.519,,
778,0,0.466,0.466,,
779,0,0.492,0.492,,
780,0,0.466,0.466,,
781,0,0.471,0.471,,
782,0,0.475,0.475,,
783,1,0.474,-0.526,,
784,0,0.468,0.468,,
785,0,0.483,0.483,,
786,0,0.463,0.463,,
787,0,0.496,0.496,,
788,0,0.491,0.491,,
789,0,0.465,0.465,,
790,1,0.482,-0.518,,
791,0,0.474,0.474,,
792,0,0.468,0.468,,
793,0,0.495,0.495,,
794,0,0.475,0.475,,
795,1,0.471,-0.529,,
796,1,0.482,-0.518,,
797,1,0.484,-0.516,,
798,1,0.475,-0.525,,
799,1,0.474,-0.526,,
800,0,0.465,0.465,,
801,1,0.478,-0.522,,
802,0,0.488,0.488,,
803,1,0.49,-0.51,,
804,0,0.466,0.466,,
805,1,0.487,-0.513,,
806,1,0.489,-0.511,,
807,0,0.494,0.494,,
808,1,0.475,-0.525,,
809,0,0.491,0.491,,
810,0,0.47,0.47,,
811,1,0.48,-0.52,,
812,0,0.496,0.496,,
813,1,0.486,-0.514,,
814,1,0.485,-0.515,,
815,0,0.463,0.463,,
816,1,0.483,-0.517,,
817,0,0.466,0.466,,
818,1,0.479,-0.521,,
819,1,0.475,-0.525,,
820,0,0.465,0.465,,
821,1,0.487,-0.513,,
822,1,0.483,-0.517,,
823,1,0.486,-0.514,,
824,1,0.482,-0.518,,
825,1,0.468,-0.532,,
826,1,0.469,-0.531,,
827,1,0.487,-0.513,,
828,0,0.466,0.466,,
829,0,0.467,0.467,,
830,0,0.471,0.471,,
831,1,0.471,-0.529,,
832,1,0.477,-0.523,,
833,0,0.463,0.463,,
834,1,0.484,-0.516,,
835,0,0.463,0.463,,
836,0,0.494,0.494,,
837,0,0.482,0.482,,
838,0,0.489,0.489,,
839,0,0.47,0.47,,
840,0,0.486,0.486,,
841,0,0.479,0.479,,
842,0,0.493,0.493,,
843,1,0.487,-0.513,,
844,0,0.467,0.467,,
845,1,0.481,-0.519,,
846,0,0.494,0.494,,
847,0,0.48,0.48,,
848,0,0.463,0.463,,
849,0,0.495,0.495,,
850,0,0.496,0.496,,
851,0,0.496,0.496,,
852,1,0.47,-0.53,,
853,1,0.468,-0.532,,
854,0,0.479,0.479,,
855,1,0.483,-0.517,,
856,0,0.467,0.467,,
857,1,0.485,-0.515,,
858,1,0.467,-0.533,,
859,1,0.483,-0.517,,
860,1,0.48,-0.52,,
861,0,0.471,0.471,,
862,0,0.495,0.495,,
863,1,0.478,-0.522,,
864,1,0.481,-0.519,,
865,0,0.479,0.479,,
866,0,0.471,0.471,,
867,0,0.47,0.47,,
868,1,0.479,-0.521,,
869,0,0.494,0.494,,
870,1,0.477,-0.523,,
871,0,0.487,0.487,,
872,1,0.475,-0.525,,
873,1,0.491,-0.509,,
874,1,0.478,-0.522,,
875,0,0.471,0.471,,
876,1,0.492,-0.508,,
877,0,0.465,0.465,,
878,0,0.495,0.495,,
879,0,0.467,0.467,,
880,0,0.493,0.493,,
881,1,0.489,-0.511,,
882,1,0.491,-0.509,,
883,1,0.491,-0.509,,
884,0,0.465,0.465,,
885,0,0.49,0.49,,
886,0,0.463,0.463,,
887,0,0.465,0.465,,
888,1,0.477,-0.523,,
889,0,0.489,0.489,,
890,1,0.489,-0.511,,
891,1,0.481,-0.519,,
892,1,0.469,-0.531,,
893,0,0.492,0.492,,
894,0,0.464,0.464,,
895,0,0.469,0.469,,
896,1,0.483,-0.517,,
897,0,0.481,0.481,,
898,0,0.494,0.494,,
899,0,0.481,0.481,,
900,1,0.482,-0.518,,
901,0,0.463,0.463,,
902,1,0.479,-0.521,,
903,0,0.495,0.495,,
904,1,0.472,-0.528,,
905,1,0.475,-0.525,,
906,1,0.476,-0.524,,
907,1,0.479,-0.521,,
908,1,0.487,-0.513,,
909,1,0.47,-0.53,,
910,1,0.486,-0.514,,
911,0,0.494,0.494,,
912,0,0.477,0.477,,
913,1,0.475,-0.525,,
914,0,0.478,0.478,,
915,0,0.483,0.483,,
916,1,0.491,-0.509,,
917,0,0.487,0.487,,
918,1,0.476,-0.524,,
919,0,0.469,0.469,,
920,1,0.487,-0.513,,
921,0,0.465,0.465,,
922,0,0.495,0.495,,
923,0,0.463,0.463,,
924,1,0.469,-0.531,,
925,1,0.471,-0.529,,
926,1,0.472,-0.528,,
927,1,0.477,-0.523,,
928,1,0.469,-0.531,,
929,0,0.471,0.471,,
930,0,0.475,0.475,,
931,1,0.482,-0.518,,
932,0,0.47,0.47,,
933,1,0.467,-0.533,,
934,0,0.493,0.493,,
935,0,0.464,0.464,,
936,1,0.488,-0.512,,
937,0,0.48,0.48,,
938,0,0.491,0.491,,
939,1,0.486,-0.514,,
940,0,0.469,0.469,,
941,1,0.486,-0.514,,
942,1,0.476,-0.524,,
943,0,0.467,0.467,,
944,1,0.484,-0.516,,
945,1,0.482,-0.518,,
946,0,0.467,0.467,,
947,0,0.493,0.493,,
948,1,0.473,-0.527,,
949,0,0.495,0.495,,
950,1,0.474,-0.526,,
951,0,0.475,0.475,,
952,1,0.478,-0.522,,
953,1,0.471,-0.529,,
954,1,0.484,-0.516,,
955,0,0.473,0.473,,
956,0,0.496,0.496,,
957,1,0.484,-0.516,,
958,1,0.487,-0.513,,
959,0,0.477,0.477,,
960,0,0.495,0.495,,
961,1,0.485,-0.515,,
962,0,0.466,0.466,,
963,1,0.491,-0.509,,
964,1,0.481,-0.519,,
